Agent DT2 issued deposit	 of $506.00	at:09/15/2024 22:21:57 EDT	Transaction Number : 1
Agent WT4 issued withdrawal	 of $97.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4513
Agent DT2 issued deposit	 of $491.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4523
Agent WT5 issued withdrawal	 of $97.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4533
Agent DT4 issued deposit	 of $515.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4537
Agent WT7 issued withdrawal	 of $98.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4541
Agent WT4 issued withdrawal	 of $93.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4542
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4544
Agent WT3 issued withdrawal	 of $96.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4551
Agent DT3 issued deposit	 of $513.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4555
Agent WT7 issued withdrawal	 of $90.00	at:09/15/2024 23:38:07 EDT	Transaction Number : 4569
Agent DT4 issued deposit	 of $497.00	at:09/15/2024 23:38:07 EDT	Transaction Number : 4570
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 23:38:07 EDT	Transaction Number : 4574
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:38:07 EDT	Transaction Number : 4577
Agent WT4 issued withdrawal	 of $95.00	at:09/15/2024 23:38:07 EDT	Transaction Number : 4580
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:38:07 EDT	Transaction Number : 4590
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:38:07 EDT	Transaction Number : 4611
Agent DT5 issued deposit	 of $457.00	at:09/15/2024 23:38:07 EDT	Transaction Number : 4616
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:38:07 EDT	Transaction Number : 4635
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:38:07 EDT	Transaction Number : 4639
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:38:07 EDT	Transaction Number : 4640
Agent DT1 issued deposit	 of $565.00	at:09/15/2024 23:38:08 EDT	Transaction Number : 4650
Agent DT4 issued deposit	 of $590.00	at:09/15/2024 23:38:08 EDT	Transaction Number : 4653
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:38:08 EDT	Transaction Number : 4655
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:38:08 EDT	Transaction Number : 4711
Agent DT3 issued deposit	 of $559.00	at:09/15/2024 23:38:08 EDT	Transaction Number : 4718
Agent WT7 issued withdrawal	 of $92.00	at:09/15/2024 23:38:08 EDT	Transaction Number : 4726
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:38:08 EDT	Transaction Number : 4728
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4736
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4737
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4741
Agent DT2 issued deposit	 of $576.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4751
Agent WT8 issued withdrawal	 of $91.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4753
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4759
Agent WT10 issued withdrawal	 of $91.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4775
Agent WT9 issued withdrawal	 of $96.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4779
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4786
Agent DT5 issued deposit	 of $520.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4789
Agent WT5 issued withdrawal	 of $93.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4790
Agent WT3 issued withdrawal	 of $92.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4801
Agent DT4 issued deposit	 of $473.00	at:09/15/2024 23:38:09 EDT	Transaction Number : 4815
Agent DT5 issued deposit	 of $502.00	at:09/15/2024 23:38:11 EDT	Transaction Number : 4874
Agent DT2 issued deposit	 of $560.00	at:09/15/2024 23:38:11 EDT	Transaction Number : 4893
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:38:11 EDT	Transaction Number : 4894
Agent DT5 issued deposit	 of $456.00	at:09/15/2024 23:38:11 EDT	Transaction Number : 4949
Agent WT2 issued withdrawal	 of $96.00	at:09/15/2024 23:38:11 EDT	Transaction Number : 4960
Agent WT1 issued withdrawal	 of $96.00	at:09/15/2024 23:38:11 EDT	Transaction Number : 4971
Agent DT5 issued deposit	 of $548.00	at:09/15/2024 23:38:12 EDT	Transaction Number : 4983
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:38:12 EDT	Transaction Number : 4988
Agent WT4 issued withdrawal	 of $95.00	at:09/15/2024 23:38:12 EDT	Transaction Number : 4989
Agent WT5 issued withdrawal	 of $97.00	at:09/15/2024 23:38:12 EDT	Transaction Number : 4996
Agent WT2 issued withdrawal	 of $96.00	at:09/15/2024 23:38:12 EDT	Transaction Number : 5003
Agent DT3 issued deposit	 of $559.00	at:09/15/2024 23:38:12 EDT	Transaction Number : 5006
Agent WT10 issued withdrawal	 of $91.00	at:09/15/2024 23:38:13 EDT	Transaction Number : 5043
Agent WT10 issued withdrawal	 of $91.00	at:09/15/2024 23:38:13 EDT	Transaction Number : 5055
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:38:13 EDT	Transaction Number : 5062
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 23:38:13 EDT	Transaction Number : 5065
Agent DT2 issued deposit	 of $536.00	at:09/15/2024 23:38:13 EDT	Transaction Number : 5072
Agent DT3 issued deposit	 of $559.00	at:09/15/2024 23:38:13 EDT	Transaction Number : 5085
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5088
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5103
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5112
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5115
Agent DT5 issued deposit	 of $474.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5117
Agent WT1 issued withdrawal	 of $93.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5132
Agent DT3 issued deposit	 of $521.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5133
Agent WT5 issued withdrawal	 of $93.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5141
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5147
Agent DT2 issued deposit	 of $500.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5151
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5154
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5157
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:38:14 EDT	Transaction Number : 5163
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:38:15 EDT	Transaction Number : 5200
Agent DT1 issued deposit	 of $555.00	at:09/15/2024 23:38:15 EDT	Transaction Number : 5202
Agent DT3 issued deposit	 of $576.00	at:09/15/2024 23:38:15 EDT	Transaction Number : 5205
Agent DT1 issued deposit	 of $480.00	at:09/15/2024 23:38:15 EDT	Transaction Number : 5207
Agent WT5 issued withdrawal	 of $94.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5252
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5255
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5258
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5265
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5267
Agent DT3 issued deposit	 of $468.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5271
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5276
Agent DT4 issued deposit	 of $595.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5281
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5284
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5289
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5290
Agent WT4 issued withdrawal	 of $93.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5291
Agent DT2 issued deposit	 of $499.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5293
Agent WT2 issued withdrawal	 of $97.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5297
Agent DT2 issued deposit	 of $525.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5303
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5308
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5310
Agent WT5 issued withdrawal	 of $93.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5311
Agent WT7 issued withdrawal	 of $93.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5330
Agent WT6 issued withdrawal	 of $97.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5331
Agent WT10 issued withdrawal	 of $91.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5332
Agent WT10 issued withdrawal	 of $97.00	at:09/15/2024 23:38:16 EDT	Transaction Number : 5353
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:38:17 EDT	Transaction Number : 5360
Agent WT9 issued withdrawal	 of $94.00	at:09/15/2024 23:38:17 EDT	Transaction Number : 5362
Agent DT4 issued deposit	 of $585.00	at:09/15/2024 23:38:17 EDT	Transaction Number : 5368
Agent DT3 issued deposit	 of $523.00	at:09/15/2024 23:38:17 EDT	Transaction Number : 5381
Agent WT2 issued withdrawal	 of $97.00	at:09/15/2024 23:38:17 EDT	Transaction Number : 5414
Agent DT2 issued deposit	 of $488.00	at:09/15/2024 23:38:17 EDT	Transaction Number : 5422
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:38:17 EDT	Transaction Number : 5426
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:38:18 EDT	Transaction Number : 5446
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 23:38:18 EDT	Transaction Number : 5460
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 23:38:18 EDT	Transaction Number : 5487
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:38:18 EDT	Transaction Number : 5489
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:38:18 EDT	Transaction Number : 5491
Agent DT1 issued deposit	 of $464.00	at:09/15/2024 23:38:18 EDT	Transaction Number : 5495
Agent DT3 issued deposit	 of $456.00	at:09/15/2024 23:38:19 EDT	Transaction Number : 5500
Agent DT5 issued deposit	 of $463.00	at:09/15/2024 23:38:19 EDT	Transaction Number : 5501
Agent WT7 issued withdrawal	 of $92.00	at:09/15/2024 23:38:19 EDT	Transaction Number : 5519
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:38:19 EDT	Transaction Number : 5525
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:38:19 EDT	Transaction Number : 5533
Agent DT3 issued deposit	 of $511.00	at:09/15/2024 23:38:19 EDT	Transaction Number : 5535
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:38:19 EDT	Transaction Number : 5536
Agent WT7 issued withdrawal	 of $98.00	at:09/15/2024 23:38:19 EDT	Transaction Number : 5540
Agent DT2 issued deposit	 of $481.00	at:09/15/2024 23:38:19 EDT	Transaction Number : 5543
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:38:19 EDT	Transaction Number : 5544
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:38:19 EDT	Transaction Number : 5551
Agent WT6 issued withdrawal	 of $90.00	at:09/15/2024 23:38:20 EDT	Transaction Number : 5566
Agent WT1 issued withdrawal	 of $91.00	at:09/15/2024 23:38:20 EDT	Transaction Number : 5580
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:38:20 EDT	Transaction Number : 5587
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:38:20 EDT	Transaction Number : 5589
Agent DT5 issued deposit	 of $552.00	at:09/15/2024 23:38:20 EDT	Transaction Number : 5590
Agent WT1 issued withdrawal	 of $96.00	at:09/15/2024 23:38:21 EDT	Transaction Number : 5616
Agent WT10 issued withdrawal	 of $91.00	at:09/15/2024 23:38:21 EDT	Transaction Number : 5642
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:38:22 EDT	Transaction Number : 5658
Agent DT2 issued deposit	 of $559.00	at:09/15/2024 23:38:22 EDT	Transaction Number : 5661
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:38:22 EDT	Transaction Number : 5667
Agent DT2 issued deposit	 of $462.00	at:09/15/2024 23:38:22 EDT	Transaction Number : 5669
Agent DT4 issued deposit	 of $526.00	at:09/15/2024 23:38:22 EDT	Transaction Number : 5670
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:38:22 EDT	Transaction Number : 5675
Agent WT2 issued withdrawal	 of $96.00	at:09/15/2024 23:38:22 EDT	Transaction Number : 5676
Agent DT2 issued deposit	 of $544.00	at:09/15/2024 23:38:22 EDT	Transaction Number : 5684
Agent DT5 issued deposit	 of $506.00	at:09/15/2024 23:38:23 EDT	Transaction Number : 5692
Agent DT1 issued deposit	 of $533.00	at:09/15/2024 23:38:23 EDT	Transaction Number : 5693
Agent DT2 issued deposit	 of $587.00	at:09/15/2024 23:38:23 EDT	Transaction Number : 5695
Agent DT1 issued deposit	 of $486.00	at:09/15/2024 23:38:23 EDT	Transaction Number : 5696
Agent DT5 issued deposit	 of $533.00	at:09/15/2024 23:38:23 EDT	Transaction Number : 5705
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:38:23 EDT	Transaction Number : 5709
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:38:23 EDT	Transaction Number : 5741
Agent DT1 issued deposit	 of $492.00	at:09/15/2024 23:38:23 EDT	Transaction Number : 5745
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:38:23 EDT	Transaction Number : 5746
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:38:23 EDT	Transaction Number : 5750
Agent WT4 issued withdrawal	 of $97.00	at:09/15/2024 23:38:24 EDT	Transaction Number : 5754
Agent DT2 issued deposit	 of $582.00	at:09/15/2024 23:38:24 EDT	Transaction Number : 5780
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:38:24 EDT	Transaction Number : 5787
Agent WT5 issued withdrawal	 of $91.00	at:09/15/2024 23:38:24 EDT	Transaction Number : 5796
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:38:24 EDT	Transaction Number : 5797
Agent DT3 issued deposit	 of $518.00	at:09/15/2024 23:38:24 EDT	Transaction Number : 5811
Agent DT4 issued deposit	 of $541.00	at:09/15/2024 23:38:24 EDT	Transaction Number : 5823
Agent DT5 issued deposit	 of $463.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5824
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5825
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5826
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5827
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5851
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5866
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5878
Agent DT5 issued deposit	 of $564.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5879
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5881
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5883
Agent WT1 issued withdrawal	 of $96.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5889
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5899
Agent DT3 issued deposit	 of $496.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5906
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5913
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5925
Agent WT1 issued withdrawal	 of $93.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5930
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:38:25 EDT	Transaction Number : 5933
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:38:26 EDT	Transaction Number : 5948
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:38:26 EDT	Transaction Number : 5955
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 23:38:26 EDT	Transaction Number : 5967
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 23:38:26 EDT	Transaction Number : 5972
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:38:26 EDT	Transaction Number : 5976
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:38:26 EDT	Transaction Number : 5981
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:38:26 EDT	Transaction Number : 5983
Agent DT3 issued deposit	 of $457.00	at:09/15/2024 23:38:26 EDT	Transaction Number : 5987
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:38:26 EDT	Transaction Number : 5998
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:38:27 EDT	Transaction Number : 6020
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:38:27 EDT	Transaction Number : 6029
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:38:27 EDT	Transaction Number : 6031
Agent WT6 issued withdrawal	 of $97.00	at:09/15/2024 23:38:27 EDT	Transaction Number : 6044
Agent WT7 issued withdrawal	 of $90.00	at:09/15/2024 23:38:27 EDT	Transaction Number : 6053
Agent DT5 issued deposit	 of $539.00	at:09/15/2024 23:38:27 EDT	Transaction Number : 6066
Agent WT5 issued withdrawal	 of $97.00	at:09/15/2024 23:38:27 EDT	Transaction Number : 6077
Agent DT4 issued deposit	 of $598.00	at:09/15/2024 23:38:27 EDT	Transaction Number : 6092
Agent WT8 issued withdrawal	 of $94.00	at:09/15/2024 23:38:27 EDT	Transaction Number : 6094
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6107
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6121
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6126
Agent DT1 issued deposit	 of $537.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6128
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6135
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6139
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6146
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6148
Agent DT4 issued deposit	 of $499.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6166
Agent WT7 issued withdrawal	 of $93.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6168
Agent DT5 issued deposit	 of $523.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6171
Agent WT5 issued withdrawal	 of $93.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6175
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6176
Agent DT2 issued deposit	 of $495.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6177
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6179
Agent DT3 issued deposit	 of $486.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6191
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6206
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6211
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:38:28 EDT	Transaction Number : 6214
Agent DT5 issued deposit	 of $466.00	at:09/15/2024 23:38:29 EDT	Transaction Number : 6220
Agent DT3 issued deposit	 of $553.00	at:09/15/2024 23:38:29 EDT	Transaction Number : 6221
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:38:29 EDT	Transaction Number : 6227
Agent DT2 issued deposit	 of $522.00	at:09/15/2024 23:38:30 EDT	Transaction Number : 6236
Agent DT1 issued deposit	 of $549.00	at:09/15/2024 23:38:30 EDT	Transaction Number : 6238
Agent DT4 issued deposit	 of $597.00	at:09/15/2024 23:38:30 EDT	Transaction Number : 6245
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:38:30 EDT	Transaction Number : 6247
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:38:30 EDT	Transaction Number : 6254
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:38:30 EDT	Transaction Number : 6255
Agent WT6 issued withdrawal	 of $90.00	at:09/15/2024 23:38:30 EDT	Transaction Number : 6269
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:38:30 EDT	Transaction Number : 6284
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:38:31 EDT	Transaction Number : 6297
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:38:31 EDT	Transaction Number : 6311
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:38:31 EDT	Transaction Number : 6317
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:38:31 EDT	Transaction Number : 6340
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:38:31 EDT	Transaction Number : 6346
Agent WT6 issued withdrawal	 of $96.00	at:09/15/2024 23:38:32 EDT	Transaction Number : 6350
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:38:32 EDT	Transaction Number : 6371
Agent WT8 issued withdrawal	 of $97.00	at:09/15/2024 23:38:32 EDT	Transaction Number : 6374
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:38:32 EDT	Transaction Number : 6379
Agent DT3 issued deposit	 of $540.00	at:09/15/2024 23:38:32 EDT	Transaction Number : 6391
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:38:32 EDT	Transaction Number : 6397
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:38:32 EDT	Transaction Number : 6399
Agent WT6 issued withdrawal	 of $98.00	at:09/15/2024 23:38:32 EDT	Transaction Number : 6412
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:38:32 EDT	Transaction Number : 6441
Agent WT1 issued withdrawal	 of $91.00	at:09/15/2024 23:38:32 EDT	Transaction Number : 6444
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:38:33 EDT	Transaction Number : 6469
Agent DT5 issued deposit	 of $594.00	at:09/15/2024 23:38:33 EDT	Transaction Number : 6481
Agent DT5 issued deposit	 of $539.00	at:09/15/2024 23:38:33 EDT	Transaction Number : 6494
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:38:33 EDT	Transaction Number : 6517
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:38:33 EDT	Transaction Number : 6524
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:38:33 EDT	Transaction Number : 6527
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:38:33 EDT	Transaction Number : 6536
Agent DT2 issued deposit	 of $452.00	at:09/15/2024 23:38:33 EDT	Transaction Number : 6539
Agent DT5 issued deposit	 of $561.00	at:09/15/2024 23:38:33 EDT	Transaction Number : 6549
Agent DT3 issued deposit	 of $469.00	at:09/15/2024 23:38:34 EDT	Transaction Number : 6553
Agent DT1 issued deposit	 of $522.00	at:09/15/2024 23:38:34 EDT	Transaction Number : 6554
Agent WT3 issued withdrawal	 of $97.00	at:09/15/2024 23:38:34 EDT	Transaction Number : 6555
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:38:34 EDT	Transaction Number : 6563
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:38:34 EDT	Transaction Number : 6572
Agent DT5 issued deposit	 of $526.00	at:09/15/2024 23:38:35 EDT	Transaction Number : 6601
Agent DT2 issued deposit	 of $529.00	at:09/15/2024 23:38:35 EDT	Transaction Number : 6605
Agent WT6 issued withdrawal	 of $97.00	at:09/15/2024 23:38:35 EDT	Transaction Number : 6617
Agent DT5 issued deposit	 of $478.00	at:09/15/2024 23:38:35 EDT	Transaction Number : 6626
Agent DT5 issued deposit	 of $566.00	at:09/15/2024 23:38:35 EDT	Transaction Number : 6645
Agent WT6 issued withdrawal	 of $96.00	at:09/15/2024 23:38:35 EDT	Transaction Number : 6647
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 23:38:35 EDT	Transaction Number : 6654
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:38:36 EDT	Transaction Number : 6671
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:38:36 EDT	Transaction Number : 6680
Agent DT1 issued deposit	 of $525.00	at:09/15/2024 23:38:36 EDT	Transaction Number : 6688
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:38:36 EDT	Transaction Number : 6710
Agent DT5 issued deposit	 of $587.00	at:09/15/2024 23:38:36 EDT	Transaction Number : 6713
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:38:36 EDT	Transaction Number : 6714
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:38:36 EDT	Transaction Number : 6715
Agent WT1 issued withdrawal	 of $90.00	at:09/15/2024 23:38:36 EDT	Transaction Number : 6717
Agent DT4 issued deposit	 of $525.00	at:09/15/2024 23:38:36 EDT	Transaction Number : 6736
Agent DT2 issued deposit	 of $470.00	at:09/15/2024 23:38:37 EDT	Transaction Number : 6749
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:38:37 EDT	Transaction Number : 6753
Agent DT5 issued deposit	 of $558.00	at:09/15/2024 23:38:37 EDT	Transaction Number : 6785
Agent DT3 issued deposit	 of $588.00	at:09/15/2024 23:38:37 EDT	Transaction Number : 6787
Agent DT4 issued deposit	 of $501.00	at:09/15/2024 23:38:37 EDT	Transaction Number : 6798
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:38:37 EDT	Transaction Number : 6810
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:38:38 EDT	Transaction Number : 6823
Agent WT2 issued withdrawal	 of $90.00	at:09/15/2024 23:38:38 EDT	Transaction Number : 6826
